anrede;vorname;nachname;strasse;nr;plz;ort;kanton;sprachregion;nationaliät;sexcode;mobile_nr;vertrag_nr;konto_nr;auth_device
Herr;Andrea;A Marca;Lombach;5;6182;Escholzmatt;LU;de;Deutschland;m;+41798592521;47769;CH5300772672529640195;mtan
Frau;Rita;Abächerli;Panoramastrasse;20;6103;Schwarzenberg LU;LU;de;Deutschland;w;+41797325018;24458;CH5300772670061796126;ptan
Frau;Claudia;Achermann;Mittler-Hickern;;6133;Hergiswil b. Willisau;LU;de;Deutschland;w;+41797836917;48418;CH5300772500037725234;ptan
Herr;Hans;à Porta;Heidenkilchli;2;6286;Altwis;LU;de;Italien ;m;+41798405934;42478;CH5300772732508635138;mtan
Frau;Maria;A Marca;Via Carcale;15;6596;Gordola;TI;it;Schweiz;w;+41797964636;35795;CH5300772640237288398;mtan
Herr;Peter;Abbühl;Dossenstrasse;5;5000;Aarau;AG;de;Schweiz;m;+41798955800;43868;CH5300772172038822637;ptan
Frau;Maria;Abbühl;Dufourstrasse;1;5000;Aarau;AG;de;Schweiz;w;+41798608122;39719;CH5300772262693101243;mtan
Frau;Ursula;Abegglen;Lochmattweg;30;5033;Buchs AG;AG;de;Schweiz;w;+41798472625;27508;CH5300772511216015083;ptan
Herr;Peter;Achermann;Menznauerstrasse;65;6110;Wolhusen;LU;de;Deutschland;m;+41797183929;24199;CH5300772960799401160;ptan
Frau;Barbara;Abegglen;Fuchsloch;1;5023;Biberstein;AG;de;Schweiz;w;+41797304739;47506;CH5300772221245992471;ptan
Herr;Stefan;Ackermann;Sternhalde;10;6005;Luzern;LU;de;Schweiz;m;+41797666857;40008;CH5300772132381653149;ptan
Herr;Michael;Accola;Burgstrasse;9;6264;Pfaffnau;LU;de;Italien ;m;+41797303396;40979;CH5300772240845017490;mtan
Frau;Elisabeth;Abegglen;Rankacherstrasse;25;5033;Buchs AG;AG;de;Schweiz;w;+41798088036;32428;CH5300772016240938397;ptan
Frau;Sandra;Achermann;Schwarzenbach;12;6156;Luthern;LU;de;Deutschland;w;+41798167045;34827;CH5300772739383984197;ptan
Frau;Maria;A Marca;Lehn;45;6182;Escholzmatt;LU;de;Deutschland;w;+41798585430;35267;CH5300772880064685383;mtan
Frau;Cristina;Abegg;Frauenthalstrasse;1;6166;Hasle LU;LU;de;Deutschland;w;+41797654389;35363;CH5300772796239326305;mtan
Herr;Thomas;Abgottspon;Sagenmattstrasse;32;6003;Luzern;LU;de;Schweiz;m;+41797772648;40784;CH5300772862883773110;ptan
Herr;Andrea;A Marca;Via ai Ronchi;1;6595;Riazzino;TI;it;Italien;m;+41797342512;36886;CH5300772209784321705;mtan
Herr;Peter;Achermann;Kantonsstrasse;35;6102;Malters;LU;de;Deutschland;m;+41797262621;26632;CH5300772708834754110;ptan
Herr;Anton;Abächerli;Gustihütten;2;6103;Schwarzenberg LU;LU;de;Deutschland;m;+41798396332;31209;CH5300772138499742184;ptan
Herr;Philippe;Abplanalp;Neumattstrasse;19;5033;Buchs AG;AG;de;Schweiz;m;+41798524795;28026;CH5300772808034796679;ptan
Herr;Peter;à Porta;Aargauerstrasse;27;6285;Hitzkirch;LU;de;Italien ;m;+41798876159;24822;CH5300772467555706368;ptan
Frau;Margrit;Abegg;Luzernstrasse;104;6102;Malters;LU;de;Deutschland;w;+41797817253;36230;CH5300772473977025785;mtan
Frau;Claudia;Achermann;Chilegass;7;6130;Willisau;LU;de;Deutschland;w;+41797808526;37454;CH5300772055631479257;ptan
Herr;Stefan;Abazi;Untere Rüti;84;9055;Bühler;AR;de;Albanien;m;+41798836037;23562;CH5300772386154088514;ptan
Herr;Nicolas;Abplanalp;Gislifluestrasse;5;5033;Buchs AG;AG;de;Schweiz;m;+41797786764;39701;CH5300772992917813874;mtan
Herr;Patrick;Abplanalp;Bühlstrasse;9;5033;Buchs AG;AG;de;Schweiz;m;+41797108611;24487;CH5300772136504997634;mtan
Frau;Ursula;Abplanalp;Aarauerstrasse;27;5033;Buchs AG;AG;de;Schweiz;w;+41797188775;48609;CH5300772332856805759;ptan
Herr;Martin;Abt;Sonnenbergstrasse;12;6005;Luzern;LU;de;Schweiz;m;+41798036257;47432;CH5300772974414171485;mtan
Frau;Maria;Abplanalp;Im Hag;14;5033;Buchs AG;AG;de;Schweiz;w;+41797297672;43102;CH5300772631156833580;ptan
Herr;Daniel;Achermann;Moosmattstrasse;22;6005;Luzern;LU;de;Schweiz;m;+41798598025;39711;CH5300772886921625313;ptan
Herr;Philipp;Abegglen;Jakob Bächlistrasse;10;5033;Buchs AG;AG;de;Schweiz;m;+41798846636;42896;CH5300772244182528816;ptan
Herr;Anton;Achermann;Sackhof;;6133;Hergiswil b. Willisau;LU;de;Deutschland;m;+41798055479;26965;CH5300772742146493375;ptan
Frau;Verena;Abplanalp;Aarauerstrasse;40;5033;Buchs AG;AG;de;Schweiz;w;+41798213725;33315;CH5300772936728513714;mtan
Herr;Luca;Achermann;Luthermattstrasse;5;6156;Luthern;LU;de;Deutschland;m;+41797073968;37883;CH5300772197045972899;ptan
Herr;Peter;Abgottspon;Hombergweg;2;5033;Buchs AG;AG;de;Schweiz;m;+41798036074;20025;CH5300772594642427231;ptan
Herr;David;Abegglen;Hölimattweg;14;5023;Biberstein;AG;de;Schweiz;m;+41798978977;28597;CH5300772896064387063;mtan
Herr;Rolf;Abazi;Chronbach;205;9107;Urnäsch;AR;de;Bosnien;m;+41798376125;41387;CH5300772185270280456;mtan
Frau;Daniela;Abgottspon;Birkenstrasse;4;6003;Luzern;LU;de;Schweiz;w;+41798132201;42773;CH5300772144232844273;ptan
Frau;Nicole;Abgottspon;Sagenmattstrasse;2;5735;Pfeffikon LU;LU;de;Schweiz;w;+41798817700;20904;CH5300772303339530616;mtan
Frau;Monika;Abazi;Dorfstrasse;70;9055;Bühler;AR;de;Albanien;w;+41797734924;44473;CH5300772836458854651;ptan
Herr;Marco;Achermann;Dreilindenplatz;2;6156;Luthern Bad;LU;de;Deutschland;m;+41797538418;20436;CH5300772925272008545;ptan
Frau;Elena;Kneubühler;Seeblenschür;;6133;Hergiswil b. Willisau;LU;de;Deutschland;w;+41797794475;24171;CH5300772526626620749;ptan
Herr;Andreas;Schmid;Rodteggstrasse;12;6005;Luzern;LU;de;Schweiz;m;+41797687240;21976;CH5300772540981550908;ptan
Herr;Claudio;Locatelli;Contrada Vecchia;2;6934;Bioggio;TI;it;Schweiz;m;+41798595289;37895;CH5300772781028468027;mtan
Herr;Peter;Steiger;Bruggmatt;7;6130;Willisau;LU;de;Deutschland;m;+41797235488;33431;CH5300772077696616586;mtan
Herr;Giuseppe;Censi;Via Monte Ceneri;51;6572;Quartino;TI;it;Italien;m;+41797257197;21767;CH5300772246866850237;ptan
Herr;Michael;Felder;Entlebucherstrasse;64;6110;Wolhusen;LU;de;Deutschland;m;+41797578928;37108;CH5300772190767210796;ptan
Frau;Verena;Dornbierer;Stein;2;9055;Bühler;AR;de;Italien ;w;+41797256785;27090;CH5300772968027049363;mtan
Frau;Claudia;Camenisch;Baumacher;8;6244;Nebikon;LU;de;Italien ;w;+41798306017;44478;CH5300772614321197002;mtan
Frau;Catherine;André;Avenue François-BESSON;17;1217;Meyrin;GE;fr;Frankreich;w;+41797897708;44525;CH5300772530341704043;ptan
Frau;Maria;Thöny;Pfaffnauerstrasse;3;6260;Reiden;LU;de;Italien ;w;+41797603913;35109;CH5300772474348463614;mtan
Herr;Olivier;Favre;Rue Pierre-Aeby;12;1700;Fribourg;FR;fr;Schweiz;m;+41798975604;38826;CH5300772018377944183;ptan
Herr;Philippe;Romon;Avenue TRONCHET;1;1226;Thônex;GE;fr;Schweiz;m;+41797516654;27155;CH5300772893392607246;ptan
Frau;Christine;Müller;Im Stutz;6;6005;St. Niklausen LU;LU;de;Schweiz;w;+41797995446;43557;CH5300772844287092956;ptan
Herr;Pierre;Gilliéron;Route de Soral;34;1232;Confignon;GE;fr;Schweiz;m;+41797526526;22057;CH5300772911881064665;ptan
Herr;Daniel;Buser;Schachenstrasse;61;6010;Kriens;LU;de;Schweiz;m;+41798218952;20463;CH5300772054383471070;mtan
Frau;Claudia;Kalberer;Schlettli;1;6274;Eschenbach LU;LU;de;Italien ;w;+41797315183;45525;CH5300772752372517194;ptan
Frau;Ruth;Zimmermann;Saum;2190;9100;Herisau;AR;de;Kosovo;w;+41798387491;42554;CH5300772201497721563;ptan
Herr;Peter;Rohrbach;Rothpletzstrasse;9;5000;Aarau;AG;de;Schweiz;m;+41797083563;27178;CH5300772388311786570;mtan
Frau;Daniela;Häfliger;Hauptgasse;27;6130;Willisau;LU;de;Deutschland;w;+41798666569;28903;CH5300772304429874305;mtan
Herr;Daniel;Ulrich;Kasernenstrasse;11;9100;Herisau;AR;de;Albanien;m;+41797378943;37071;CH5300772392290336388;ptan
Herr;Michel;Pasche;Place René-PAYOT;1;1204;Genève;GE;fr;Kroatien;m;+41798045034;28066;CH5300772513022081206;mtan
Herr;Thomas;Jäggi;Wächtergass;3;6017;Ruswil;LU;de;Schweiz;m;+41798837899;39863;CH5300772552470880491;ptan
Frau;Andrea;Seibert;Mittlertanne;2;6024;Hildisrieden;LU;de;Schweiz;w;+41798065249;21999;CH5300772566002821491;ptan
Herr;Thomas;Keller;Dorfstrasse;48;9104;Waldstatt;AR;de;Bosnien;m;+41797624353;48583;CH5300772287132152631;ptan
Frau;Verena;Siegenthaler;Bachstrasse;103;5000;Aarau;AG;de;Schweiz;w;+41798402682;28619;CH5300772899555235956;ptan
Herr;Andrea;Galli;Luzernstrasse;25;6208;Oberkirch LU;LU;de;Deutschland;m;+41798642811;43625;CH5300772861962130575;mtan
Herr;Daniel;Müller;Waldmatt;214;6012;Obernau;LU;de;Schweiz;m;+41797782480;36763;CH5300772297985589846;ptan
Frau;Valentina;Vogel;Oberberg-Ennerhaus;;6130;Willisau;LU;de;Deutschland;w;+41798698609;48342;CH5300772889886616105;ptan
Herr;Stefan;von Allmen;Neumattstrasse;21;5033;Buchs AG;AG;de;Schweiz;m;+41797295829;46543;CH5300772766331859398;mtan
Herr;Andrea;Bagutti;Bahnhofstrasse;4;6210;Sursee;LU;de;Deutschland;m;+41797924457;24181;CH5300772691120655592;mtan
Herr;Daniel;Cavigelli;Ober-Neubühl;1;6247;Schötz;LU;de;Italien ;m;+41797394969;49969;CH5300772112391949467;ptan
Herr;David;Pesenti;Route de Russille;32;1644;Avry-devant-Pont;FR;fr;Schweiz;m;+41798467463;23778;CH5300772280849225630;mtan
Frau;Ruth;Schmed;Sagenstrasse;9;6252;Dagmersellen;LU;de;Italien ;w;+41797425948;23501;CH5300772812632762484;ptan
Herr;Peter;Mahrer;Rigistrasse;56;6006;Luzern;LU;de;Schweiz;m;+41797972090;22615;CH5300772015777079474;ptan
Herr;Daniel;Rindlisbacher;Schützenmattstrasse;17;6020;Emmenbrücke;LU;de;Schweiz;m;+41797377391;45851;CH5300772256106297587;ptan
Herr;Markus;Meier;Spielhofgasse;2;6264;Pfaffnau;LU;de;Italien ;m;+41798095033;40429;CH5300772360252471547;ptan
Frau;Sandra;Keller;Hinterergeten;883;9427;Wolfhalden;AR;de;Spanien;w;+41798974947;28507;CH5300772443409640411;mtan
Herr;Hans;Schmid;Hengstweid;13;6280;Hochdorf;LU;de;Italien ;m;+41797422300;46355;CH5300772973550231985;mtan
Frau;Céline;Favre;Route d'Arlens;40;1675;Blessens;FR;fr;Schweiz;w;+41797144202;36790;CH5300772591744897018;ptan
Herr;Daniel;Schmid;Chalet-Dörfli;2;6344;Meierskappel;LU;de;Italien ;m;+41798748012;26309;CH5300772457559180405;ptan
Frau;Alexandra;Cambieri;Brunnenweg;11;3212;Gurmels;FR;de;Frankreich;w;+41797606776;26009;CH5300772570724875529;mtan
Herr;Peter;Suter;Feldstrasse;20;6033;Buchrain;LU;de;Schweiz;m;+41797095722;49601;CH5300772920054199163;mtan
Frau;Margrit;Wiesendanger;Poststrasse;14;9100;Herisau;AR;de;Albanien;w;+41798065200;39987;CH5300772964980521923;ptan
Herr;Christian;Darms;Kohlgrube;;6246;Altishofen;LU;de;Italien ;m;+41797737297;20131;CH5300772012963607365;mtan
Frau;Sara;Rossi;Alte Gemeindestrasse;2;6173;Flühli LU;LU;de;Deutschland;w;+41797852659;20795;CH5300772450195809481;ptan
Frau;Claudia;Meyer;Bodenhofterrasse;73;6005;Luzern;LU;de;Schweiz;w;+41798464661;29069;CH5300772729697064818;ptan
Frau;Anna;Lustenberger;Industriestrasse;38;6102;Malters;LU;de;Deutschland;w;+41797604971;41020;CH5300772879440895881;ptan
Herr;Roberto;Negrini;Rothornstrasse;2;6174;Sörenberg;LU;de;Deutschland;m;+41798216264;20334;CH5300772937418504948;ptan
Herr;Markus;Bosshard;Trogenerstrasse;47;9055;Bühler;AR;de;Italien ;m;+41798954826;27039;CH5300772569005705183;mtan
Frau;Sandra;Meyer;Rigiblickstrasse;28;6048;Horw;LU;de;Schweiz;w;+41798902339;22510;CH5300772009279543391;ptan
Herr;Walter;Bianchi;Holzacherstrasse;22;6210;Sursee;LU;de;Deutschland;m;+41798696219;21045;CH5300772603030517218;ptan
Herr;Philippe;Faivre;Chemin du Pastel;24;1218;Le Grand-Saconnex;GE;fr;Schweiz;m;+41798532272;27236;CH5300772273534074194;mtan
Herr;Walter;Waldvogel;Säntisstrasse;1;9100;Herisau;AR;de;Albanien;m;+41798336838;35236;CH5300772636881565787;mtan
Frau;Christine;Bryand;Chemin Charles-POLUZZI;11a;1227;Carouge GE;GE;fr;Schweiz;w;+41797584222;40967;CH5300772050005109234;ptan
Herr;Thomas;Meier;Mättliweg;4;6353;Weggis;LU;de;Italien ;m;+41797043135;23932;CH5300772029626922036;mtan
Frau;Brigitte;Weber;Dorf;64;9035;Grub AR;AR;de;Italien ;w;+41797746635;23373;CH5300772486394754036;ptan
Frau;Regina;Wüthrich;Haldenstrasse;19;4806;Wikon;LU;de;Schweiz;w;+41798664338;32024;CH5300772192339129217;ptan
Frau;Monika;Schmid;Hasenbühl;1059;9410;Heiden;AR;de;Frankreich;w;+41797896643;21812;CH5300772806617309154;ptan
Herr;Thomas;Meier;Altsagenring;7;6048;Horw;LU;de;Deutschland;m;+41798388070;38060;CH5300772956724581254;ptan
Herr;Michael;Huber;Sonnhaldestrasse;72;6030;Ebikon;LU;de;Schweiz;m;+41798448190;39559;CH5300772484409023928;mtan
Herr;Markus;Bader;Celtastrasse;11;6020;Emmenbrücke;LU;de;Schweiz;m;+41797438994;20304;CH5300772948326415800;ptan
Frau;Karin;Stutz;Seeweg;14;6404;Greppen;LU;de;Italien ;w;+41798487766;29095;CH5300772921413880344;ptan
Frau;Carole;Bonadei;Chemin de la Traversière;25;1618;Châtel-St-Denis;FR;fr;Schweiz;w;+41798866855;49980;CH5300772258371968592;mtan
Frau;Ursula;Schorta;Aargauerstrasse;1;6285;Hitzkirch;LU;de;Italien ;w;+41798262873;26290;CH5300772099976798364;mtan
Frau;Anna;Huber;Lochmühlestrasse;7;9056;Gais;AR;de;Albanien;w;+41797535342;21902;CH5300772041004120262;ptan
Herr;Markus;Jegen;Sinnerhof;2;6263;Richenthal;LU;de;Italien ;m;+41797452482;20406;CH5300772418654994070;mtan
Frau;Sonja;Meier;Untere Burgstrasse;5;6353;Weggis;LU;de;Italien ;w;+41797234157;42553;CH5300772251907375101;ptan
Herr;Thomas;Müller;Matthof;12;6014;Luzern;LU;de;Schweiz;m;+41798582216;36741;CH5300772200822371676;ptan
Herr;Peter;Müller;Luzernstrasse;127;6102;Malters;LU;de;Deutschland;m;+41797868295;41140;CH5300772048515033893;ptan
Herr;Daniel;Fetz;Hofackerhalde;6;6234;Triengen;LU;de;Italien ;m;+41798554849;39329;CH5300772775589203302;ptan
Herr;Andreas;Müller;Sägholzstrasse;43;9038;Rehetobel;AR;de;Italien ;m;+41797977572;20693;CH5300772317392114115;mtan
Frau;Judith;Müller;Haslimattstrasse;12;6010;Kriens;LU;de;Schweiz;w;+41798855814;21588;CH5300772569966410210;mtan
Herr;Andreas;Fischer;Spechtenstrasse;80;6036;Dierikon;LU;de;Schweiz;m;+41797038154;33237;CH5300772386420217645;ptan
Herr;Walter;Gerber;Tellistrasse;118;5000;Aarau;AG;de;Schweiz;m;+41797198820;27896;CH5300772903672870921;ptan
Frau;Monika;Meier;Weinberglistrasse;69;6005;Luzern;LU;de;Schweiz;w;+41798654244;44475;CH5300772347411658798;mtan
